"Hostname","IP","Platform","Capabilities","Local Interface","Remote Interface","Version"
"ENCORE-3850-HUB515.encore.ncl.com","10.0.48.1","cisco WS-C3850-24XU","Switch IGMP","TenGigabitEthernet1/5/25","TenGigabitEthernet1/1/4","Cisco IOS Software [Denali], Catalyst L3 Switch Software (CAT3K_CAA-UNIVERSALK9-M), Version 16.3.6, RELEASE SOFTWARE (fc3)"
"ENCORE-3850-HUB607.encore.ncl.com","10.70.0.227","cisco WS-C3850-24XU","Switch IGMP","TenGigabitEthernet1/5/27","TenGigabitEthernet1/1/4","Cisco IOS Software [Denali], Catalyst L3 Switch Software (CAT3K_CAA-UNIVERSALK9-M), Version 16.3.6, RELEASE SOFTWARE (fc3)"
"ENCORE-3850-HUB414.encore.ncl.com","10.0.40.1","cisco WS-C3850-24XU","Switch IGMP","TenGigabitEthernet2/5/21","TenGigabitEthernet2/1/4","Cisco IOS Software [Denali], Catalyst L3 Switch Software (CAT3K_CAA-UNIVERSALK9-M), Version 16.3.6, RELEASE SOFTWARE (fc3)"
"ENCORE-3850-HUB607.encore.ncl.com","10.70.0.227","cisco WS-C3850-24XU","Switch IGMP","TenGigabitEthernet2/5/27","TenGigabitEthernet2/1/4","Cisco IOS Software [Denali], Catalyst L3 Switch Software (CAT3K_CAA-UNIVERSALK9-M), Version 16.3.6, RELEASE SOFTWARE (fc3)"
"ENCORE-3850-HUB515.encore.ncl.com","10.0.48.1","cisco WS-C3850-24XU","Switch IGMP","TenGigabitEthernet2/5/25","TenGigabitEthernet3/1/4","Cisco IOS Software [Denali], Catalyst L3 Switch Software (CAT3K_CAA-UNIVERSALK9-M), Version 16.3.6, RELEASE SOFTWARE (fc3)"
"ENCORE-3850-HUB303.encore.ncl.com","10.0.20.1","cisco WS-C3850-24XU","Switch IGMP","TenGigabitEthernet1/5/10","TenGigabitEthernet1/1/4","Cisco IOS Software [Denali], Catalyst L3 Switch Software (CAT3K_CAA-UNIVERSALK9-M), Version 16.3.6, RELEASE SOFTWARE (fc3)"
"ENCORE-3850-HUB303.encore.ncl.com","10.0.20.1","cisco WS-C3850-24XU","Switch IGMP","TenGigabitEthernet2/5/10","TenGigabitEthernet3/1/4","Cisco IOS Software [Denali], Catalyst L3 Switch Software (CAT3K_CAA-UNIVERSALK9-M), Version 16.3.6, RELEASE SOFTWARE (fc3)"
"ENCORE-HUB605.Encore.ncl.com","10.70.0.126","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/1/27","TenGigabitEthernet3/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB605.Encore.ncl.com","10.70.0.126","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/2/27","TenGigabitEthernet4/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB605.Encore.ncl.com","10.70.0.126","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/1/27","TenGigabitEthernet3/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB605.Encore.ncl.com","10.70.0.126","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/2/27","TenGigabitEthernet4/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-3850-HUB110.encore.ncl.com","10.0.6.1","cisco WS-C3850-24XU","Switch IGMP","TenGigabitEthernet1/5/3","TenGigabitEthernet1/1/4","Cisco IOS Software [Denali], Catalyst L3 Switch Software (CAT3K_CAA-UNIVERSALK9-M), Version 16.3.6, RELEASE SOFTWARE (fc3)"
"ENCORE-3850-HUB110.encore.ncl.com","10.0.6.1","cisco WS-C3850-24XU","Switch IGMP","TenGigabitEthernet2/5/3","TenGigabitEthernet2/1/4","Cisco IOS Software [Denali], Catalyst L3 Switch Software (CAT3K_CAA-UNIVERSALK9-M), Version 16.3.6, RELEASE SOFTWARE (fc3)"
"NCL_Encore_SEC_LAN.SW.mtnsat.com","10.151.213.11","cisco WS-C3650-48TD","Switch IGMP","GigabitEthernet2/7/18","GigabitEthernet1/0/44","Cisco IOS Software [Denali], Catalyst L3 Switch Software (CAT3K_CAA-UNIVERSALK9-M), Version 16.3.7, RELEASE SOFTWARE (fc4)"
"NCL_Encore_SEC_LAN.SW.mtnsat.com","10.151.213.11","cisco WS-C3650-48TD","Switch IGMP","GigabitEthernet2/7/23","GigabitEthernet1/0/46","Cisco IOS Software [Denali], Catalyst L3 Switch Software (CAT3K_CAA-UNIVERSALK9-M), Version 16.3.7, RELEASE SOFTWARE (fc4)"
"ENCORE-HUB609.encore.ncl.com","10.70.0.128","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/1/29","TenGigabitEthernet3/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB609.encore.ncl.com","10.70.0.128","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/1/29","TenGigabitEthernet3/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB609.encore.ncl.com","10.70.0.128","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/2/29","TenGigabitEthernet4/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB609.encore.ncl.com","10.70.0.128","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/2/29","TenGigabitEthernet4/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-WLC","10.70.0.250","AIR-CT8540-K9","Host","TenGigabitEthernet1/1/32","TenGigabitEthernet0/0/1","Manufacturer's Name: Cisco Systems Inc.  Product Name: Cisco Controller  Product Version: 8.8.125.0  RTOS Version: 8.8.125.0  Bootloader Version: 8.1.102.0  Build Type: DATA + WPS"
"ENCORE-WLC","10.70.0.250","AIR-CT8540-K9","Host","TenGigabitEthernet1/5/32","TenGigabitEthernet0/0/2","Manufacturer's Name: Cisco Systems Inc.  Product Name: Cisco Controller  Product Version: 8.8.125.0  RTOS Version: 8.8.125.0  Bootloader Version: 8.1.102.0  Build Type: DATA + WPS"
"ENCORE-WLC","10.70.0.250","AIR-CT8540-K9","Host","TenGigabitEthernet1/6/1","TenGigabitEthernet0/0/3","Manufacturer's Name: Cisco Systems Inc.  Product Name: Cisco Controller  Product Version: 8.8.125.0  RTOS Version: 8.8.125.0  Bootloader Version: 8.1.102.0  Build Type: DATA + WPS"
"ENCORE-WLC","10.70.0.250","AIR-CT8540-K9","Host","TenGigabitEthernet1/6/2","TenGigabitEthernet0/0/4","Manufacturer's Name: Cisco Systems Inc.  Product Name: Cisco Controller  Product Version: 8.8.125.0  RTOS Version: 8.8.125.0  Bootloader Version: 8.1.102.0  Build Type: DATA + WPS"
"ENCORE-HUB209.encore.ncl.com","10.70.0.106","cisco WS-C4510R+E","Switch IGMP","TenGigabitEthernet2/1/7","TenGigabitEthernet5/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB209.encore.ncl.com","10.70.0.106","cisco WS-C4510R+E","Switch IGMP","TenGigabitEthernet2/2/7","TenGigabitEthernet6/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB209.encore.ncl.com","10.70.0.106","cisco WS-C4510R+E","Switch IGMP","TenGigabitEthernet1/2/7","TenGigabitEthernet6/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB209.encore.ncl.com","10.70.0.106","cisco WS-C4510R+E","Switch IGMP","TenGigabitEthernet1/1/7","TenGigabitEthernet5/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB104.encore.ncl.com","10.70.0.100","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/1/1","TenGigabitEthernet3/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB104.encore.ncl.com","10.70.0.100","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/2/1","TenGigabitEthernet4/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB104.encore.ncl.com","10.70.0.100","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/2/1","TenGigabitEthernet4/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB104.encore.ncl.com","10.70.0.100","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/1/1","TenGigabitEthernet3/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB216.encore.ncl.com","10.70.0.108","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/2/9","TenGigabitEthernet4/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB216.encore.ncl.com","10.70.0.108","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/2/9","TenGigabitEthernet4/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB216.encore.ncl.com","10.70.0.108","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/1/9","TenGigabitEthernet3/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB216.encore.ncl.com","10.70.0.108","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/1/9","TenGigabitEthernet3/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB107.encore.ncl.com","10.70.0.101","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/2/2","TenGigabitEthernet4/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB107.encore.ncl.com","10.70.0.101","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/2/2","TenGigabitEthernet4/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
